ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
EUDA,A_10_from_low,2026-03-23,true_explosion,True,S-20,S-20,S-20,S-20,S-20,-4.439865686488048,-6.48424564023113,-4.268245606612183,1.1392057920140413,S-10,S-20
EUDA,B_20_from_low,2026-03-24,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,-1.8072771026971424,-6.666765250202921,-5.9616637465443105,2.296155161463677,S-10,S-20
EUDA,C_20_in_1_3,2026-03-26,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,17.499694064435324,15.692416961738182,11.887439034459938,1.197350379482822,S-5,S-20
EUDA,D_rapid_expansion,2026-03-26,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,17.499694064435324,15.692416961738182,11.887439034459938,1.197350379482822,S-5,S-20
EUDA,E_base_breakout,2026-04-23,rapid_move,True,S-20,S-20,S-20,S-20,S-20,1.8465138081296146,4.517068663866922,0.9614913069292044,0.1245048104131296,S-3,S-20
FCHL,A_10_from_low,2026-03-23,true_explosion,True,S-20,S-20,S-20,S-20,S-10,-3.6768750564891803,-17.60431190878527,-16.01114607779602,6.710035192492268,S-3,S-20
FCHL,B_20_from_low,2026-03-23,true_explosion,True,S-20,S-20,S-20,S-20,S-10,-3.6768750564891803,-17.60431190878527,-16.01114607779602,6.710035192492268,S-3,S-20
FCHL,C_20_in_1_3,2026-03-26,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,-0.07522286953359014,0.24994028773225807,-14.75791464258377,19.10958775769648,S-5,S-20
FCHL,D_rapid_expansion,2026-03-26,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,-0.07522286953359014,0.24994028773225807,-14.75791464258377,19.10958775769648,S-5,S-20
FCHL,E_base_breakout,2026-07-06,temporary_spike,False,S-20,S-20,S-15,,,0.27966299179702503,0.7811295632155009,-0.28090841247717435,0.08707562860776832,,S-15
JDZG,A_10_from_low,2026-03-26,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,-0.4499176139648142,0.005299846705263178,-0.6336978756181111,0.29014640066752634,S-4,S-20
JDZG,B_20_from_low,2026-04-13,no_significant_move,False,S-20,S-20,S-20,S-20,,-0.20441518669196057,-0.3236922869764669,-0.47773276745029136,6.848865888256847,S-15,S-20
JDZG,C_20_in_1_3,2026-04-13,no_significant_move,False,S-20,S-20,S-20,S-20,,-0.20441518669196057,-0.3236922869764669,-0.47773276745029136,6.848865888256847,S-15,S-20
JDZG,D_rapid_expansion,2026-04-13,no_significant_move,False,S-20,S-20,S-20,S-20,,-0.20441518669196057,-0.3236922869764669,-0.47773276745029136,6.848865888256847,S-15,S-20
JDZG,E_base_breakout,2026-04-13,no_significant_move,False,S-20,S-20,S-20,S-20,,-0.20441518669196057,-0.3236922869764669,-0.47773276745029136,6.848865888256847,S-15,S-20
YYGH,A_10_from_low,2026-03-23,temporary_spike,False,S-20,S-20,S-20,S-20,,-2.0869632968028924,0.5899750636680636,-5.525548625890153,1.8920798293612244,S-15,S-20
YYGH,B_20_from_low,2026-04-08,temporary_spike,False,S-20,,,,,0.8544474572642855,1.1361474403556286,1.7248370569198244,0.4892501626278473,S-15,
YYGH,C_20_in_1_3,2026-04-10,no_significant_move,False,S-20,,,,,3.842630417894128,4.6970778751584135,5.625211420608707,0.23071034541418362,S-20,
YYGH,D_rapid_expansion,2026-05-06,no_significant_move,False,S-20,S-15,S-15,,,8.614297987110632,6.018219179419461,-1.566460638831046,2.5209802721952235,S-1,S-15
YYGH,E_base_breakout,2026-08-26,no_significant_move,False,S-20,S-20,S-10,S-7,,0.6138328622412672,-3.2032492354164503,-0.06500924283825782,13.167642603108938,S-10,S-10
FUBO,A_10_from_low,2026-03-31,temporary_spike,False,S-20,S-10,,,,-1.800158780043759,-7.924099440944971,-16.368624526970947,2.2069459594408856,S-5,
