ticker,definition,signal_date,classification,relative_day,rsi,rsi_slope,volume_ratio_20,macd_hist
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-5,37.80070326740729,-2.126895538203646,1.0705332339589404,0.12363874907910699
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-6,38.9794254837437,-1.2318786106269617,0.7598466364586964,0.1503884053399961
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-7,40.399874733996704,-0.5348131622855282,1.153612629022465,0.17693584367844606
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-10,42.00431422085329,0.9053774125878368,0.6986360896564292,0.17204819746052136
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-15,38.548356308544804,0.6492154944193634,0.13743666451942962,0.06697196975925679
CRIS,B_20_from_low,2026-08-13,No Significant Move,S-20,38.67967322343018,0.6512253378727261,0.14237481186185574,-0.09418347693055562
HKIT,A_10_from_low,2026-07-06,No Significant Move,S,33.19032184741745,-0.2171076010066836,0.2210649219768245,10.854290759691434
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-1,33.105285224845346,-0.28348929004401197,0.20330729382135934,11.576138650175267
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-2,33.4302977635127,-0.1060073340037917,0.1314202387167624,12.40057096104595
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-3,33.8416446504375,0.22931339212155422,0.05697640838871938,13.216214549734666
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-4,33.95575309497738,0.19898573065236272,0.3212040472418179,13.95143895505877
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-5,33.74831976552407,0.09709874869309469,2.563468585983999,14.667107473784611
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-6,33.15370447407284,-0.13435003737125348,0.07245980852991314,15.444270238980927
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-7,33.358795903020294,-0.07342184958535825,0.0592649090951885,16.41224379393534
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-10,33.57906145177637,-0.15322920109036411,0.1014073468938801,19.496027130179698
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-15,34.29647936284772,0.41519842051516304,5.5406973594697115,25.93846357124984
HKIT,A_10_from_low,2026-07-06,No Significant Move,S-20,33.004768132357114,-4.253813546029835,3.317808974231901,39.299393001129644
HKIT,B_20_from_low,2026-07-22,No Significant Move,S,33.62521289329601,0.22459740030071393,0.8231230155492366,5.134300014619754
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-1,32.86623648733256,-0.07839513117316226,0.34625679252446484,5.436921489189777
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-2,32.7694433410618,-0.15911995837158108,0.11468806662718066,5.805302656014664
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-3,32.95142069239387,-0.010392379644694453,0.1665732304280932,6.215633689095366
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-4,33.101421880852044,0.0032619608053418383,0.45386599882056594,6.637939983948279
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-5,33.246803216176545,0.025613481634721325,0.4038271197624546,7.07070710522374
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-6,32.98259783132795,-0.0819303906492858,0.15945611125713058,7.507088738245567
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-7,33.09163599843602,-0.043308806402303425,0.13366129721540168,7.998524168253525
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-10,33.22156241764293,0.03875906426586084,0.07172891643476713,9.594322091054345
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-15,33.8416446504375,0.22931339212155422,0.05697640838871938,13.216214549734666
HKIT,B_20_from_low,2026-07-22,No Significant Move,S-20,33.45702351944479,-0.07301487376103921,0.04005379541953275,17.390032293657406
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S,34.82728811032912,0.6061005874124371,3.111032437934239,2.470023771197668
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-1,33.37262647562952,0.017735757746801067,0.22525831252142403,2.6066562059485783
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-2,33.29582048088638,-0.06356709019917635,0.5758842594767251,2.790973913336427
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-3,33.00898634809181,-0.11391435581245919,2.173861806182975,2.993507145263311
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-4,33.31941920238911,-0.010436737713357994,0.11101526459888235,3.227475874977616
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-5,33.486521751483906,-0.07055126075741687,0.17989370398491009,3.462188441133719
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-6,33.35072941552919,-0.12377196292293983,0.1370722358333992,3.702411705063941
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-7,33.35072941552919,-0.002010126256735134,0.2557083120243073,3.96734362073566
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-10,33.35675979429939,0.195772151079197,0.21696708823182737,4.814515923664093
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-15,33.101421880852044,0.0032619608053418383,0.45386599882056594,6.637939983948279
HKIT,C_20_in_1_3,2026-08-06,No Significant Move,S-20,33.22838900327581,0.012689051952785727,0.09041754945887225,9.038814555577105
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S,34.82728811032912,0.6061005874124371,3.111032437934239,2.470023771197668
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-1,33.37262647562952,0.017735757746801067,0.22525831252142403,2.6066562059485783
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-2,33.29582048088638,-0.06356709019917635,0.5758842594767251,2.790973913336427
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-3,33.00898634809181,-0.11391435581245919,2.173861806182975,2.993507145263311
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-4,33.31941920238911,-0.010436737713357994,0.11101526459888235,3.227475874977616
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-5,33.486521751483906,-0.07055126075741687,0.17989370398491009,3.462188441133719
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-6,33.35072941552919,-0.12377196292293983,0.1370722358333992,3.702411705063941
HKIT,D_rapid_expansion,2026-08-06,No Significant Move,S-7,33.35072941552919,-0.002010126256735134,0.2557083120243073,3.96734362073566
