ticker,definition,signal_date,paper_signal,target,features_pre_signal_only,status
XPON,D_rapid_expansion,2026-08-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
XPON,E_base_breakout,2026-08-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
MSS,C_20_in_1_3,2026-08-19,True,+70%,True,PAPER_SIGNAL_RESEARCH
MSS,D_rapid_expansion,2026-08-19,True,+70%,True,PAPER_SIGNAL_RESEARCH
DBGI,C_20_in_1_3,2026-08-03,True,+70%,True,PAPER_SIGNAL_RESEARCH
DBGI,D_rapid_expansion,2026-08-03,True,+70%,True,PAPER_SIGNAL_RESEARCH
TRIB,C_20_in_1_3,2026-07-29,True,+70%,True,PAPER_SIGNAL_RESEARCH
TRIB,D_rapid_expansion,2026-07-29,True,+70%,True,PAPER_SIGNAL_RESEARCH
STKH,C_20_in_1_3,2026-07-30,True,+70%,True,PAPER_SIGNAL_RESEARCH
STKH,D_rapid_expansion,2026-07-30,True,+70%,True,PAPER_SIGNAL_RESEARCH
NEXR,A_10_from_low,2026-07-31,True,+70%,True,PAPER_SIGNAL_RESEARCH
KWM,A_10_from_low,2026-08-03,True,+70%,True,PAPER_SIGNAL_RESEARCH
KWM,B_20_from_low,2026-08-03,True,+70%,True,PAPER_SIGNAL_RESEARCH
PMI,C_20_in_1_3,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
PMI,D_rapid_expansion,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
PMI,E_base_breakout,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
AEMD,A_10_from_low,2026-08-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
