ticker,definition,signal_date,hypothesis,qualifies,success_70_10,max_return_20
OFAL,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,254.2055865481125
OFAL,C_20_in_1_3,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,36.76470549564461
OFAL,D_rapid_expansion,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,36.76470549564461
KWM,A_10_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,True,False,7.615894719407379
KWM,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,True,False,7.615894719407379
KWM,C_20_in_1_3,2026-08-17,H1_RSI_Recovery_Volume_Expansion,False,False,17.328520663488778
LBGJ,A_10_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,83.05489192241279
LBGJ,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,83.05489192241279
LEXX,A_10_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,171.28420378032482
LEXX,B_20_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,True,129.35944138440934
LEXX,C_20_in_1_3,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,77.40739763955023
LEXX,D_rapid_expansion,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,77.40739763955023
MVIS,A_10_from_low,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,31.720431658115956
MVIS,B_20_from_low,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,3.225808436366906
MVIS,C_20_in_1_3,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,3.225808436366906
MVIS,D_rapid_expansion,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,3.225808436366906
PMI,A_10_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,131.38400820197074
PMI,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,131.38400820197074
PMI,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,True,131.38400820197074
PMI,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,True,131.38400820197074
PMI,E_base_breakout,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,True,131.38400820197074
SEGG,A_10_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,-0.33112551411966784
SEGG,B_20_from_low,2026-08-25,H1_RSI_Recovery_Volume_Expansion,False,False,17.314488436277365
TOP,A_10_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,58.06714974624649
TOP,B_20_from_low,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,False,54.2869856905772
TOP,E_base_breakout,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,23.276719635749068
TOP,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,7.259857580718498
TOP,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,7.259857580718498
WETO,A_10_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,702.2455318822399
WETO,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,True,702.2455318822399
WETO,C_20_in_1_3,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,True,551.9464526971174
WETO,D_rapid_expansion,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,True,551.9464526971174
AEMD,A_10_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,True,False,5.113638287856559
