feature,rule,threshold,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
rsi_change_5,bottom_20,-7.097212381643338,0.04650384455010041,226,48,178,0.21238938053097345,"[0.14352358168147641, 0.27888659952464817]",0.16725352112676056,1.2698649278062413,1.458458616869758,0.04650384455010041,1.2698649278062413,27.085953350775927,105.96442956329915,127,0.1575963620864514,False
rsi_change_5,bottom_30,-3.598843213910186,0.11728316007699033,338,66,272,0.1952662721893491,"[0.14285714285714285, 0.25]",0.16725352112676056,1.1674867642478979,1.318904174573055,0.11728316007699033,1.1674867642478979,26.75376940675679,91.73569876023419,169,0.280515141795374,False
rsi_change_5,median,-0.01792212019284989,0.47449590368976086,563,99,464,0.17584369449378331,"[0.13227365434069344, 0.21691225101151573]",0.16725352112676056,1.0513601944470412,1.1301155740810913,0.47449590368976086,1.0513601944470412,24.675332717779884,82.83809141245267,223,0.6828218980978226,False
rsi_change_5,top_30,4.1447159727327865,0.6645700471159405,338,59,279,0.17455621301775148,"[0.1209406244104886, 0.22720713775501308]",0.16725352112676056,1.04366241046403,1.0767189252783933,0.6645700471159405,1.04366241046403,22.32998504924644,87.10958022039814,158,0.8273218953892321,False
rsi_change_5,top_20,7.5043408071040005,0.27406248079052287,227,32,195,0.14096916299559473,"[0.08069955156950673, 0.2077127659574468]",0.16725352112676056,0.8428472061210295,0.7800064913988964,0.27406248079052287,0.8428472061210295,20.711564652394188,76.10891088382066,121,0.4845742413977361,False
rsi_change_5,top_10,12.631983229836091,0.8947513819164474,113,18,95,0.1592920353982301,"[0.07514650597080938, 0.24786666666666668]",0.16725352112676056,0.952398695854681,0.937454100367197,0.8947513819164474,0.952398695854681,21.788279838968805,77.84919199704238,68,0.9410316258086775,False
rsi_change_10,bottom_10,-19.657904684355827,0.5077245093876896,113,16,97,0.1415929203539823,"[0.06665289256198347, 0.22081529581529577]",0.16725352112676056,0.8465766185374942,0.8048346960540348,0.5077245093876896,0.8465766185374942,24.675332717779884,52.320512981590404,62,0.7202603505267224,False
rsi_change_10,bottom_20,-12.472626429356282,0.4256864527798022,226,42,184,0.18584070796460178,"[0.12032845914458985, 0.24896465928709247]",0.16725352112676056,1.1111318118304612,1.175235017626322,0.4256864527798022,1.1111318118304612,27.085953350775927,78.1000872851217,115,0.6503083882622495,False
rsi_change_10,bottom_30,-6.905186530030157,0.6645700471159405,338,59,279,0.17455621301775148,"[0.12074169958364471, 0.22917404390934842]",0.16725352112676056,1.04366241046403,1.0767189252783933,0.6645700471159405,1.04366241046403,24.18350479798219,72.32081155048252,152,0.8273218953892321,False
rsi_change_10,median,-1.1518100514944294,0.06736043941147399,563,106,457,0.1882770870337478,"[0.14341739790842867, 0.22978788755349855]",0.16725352112676056,1.1256987940544079,1.3502657080337606,0.06736043941147399,1.1256987940544079,25.383438874997786,78.96933759122626,207,0.1977643058821904,False
